             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
COL4A6	0.43	0.71	0.38	0.46	0.72		0.69	0.62	0.69	0.87	0.82			0.96	0.98
COL5A1	0.74	0.49	 	0.65	0.37		0.66	0.83		0.33	 				
COL5A2	0.55	0.49	0.45	0.82	0.51		0.66	0.93	0.73	0.95	0.69			0.99	0.85
COL6A1	0.05	0.08	0.31	0.18	0.11		0.05	0.16	0.13	0.36	0.04			1.08	1.07
COL6A2	0.48	0.2	0.62	0.36	0.94		0.16	0.73	0.57	0.69	0.08			1.81	1.69
COL6A3	0.45	0.56	0.28	0.55	0.24		0.53	0.44	0.63	0.66	0.27			1	1.01
COL7A1	0.36	0.78	0.35	0.31	0.26		0.13	0.37	0.14	0.33	0.36			2.1	2.09
COL8A1	0.57	0.36	0.88	0.44	0.96		0.64	0.45		0.71	 				0.73
COL9A1	0.05	0.28	0.21	0.54	0.98		0.84	0.89	0.83	0.9	0.57			0.9	0.86
COL9A2	0.27	0.22	0.25	0.4	0.25		0.55	0.62	0.62	0.58	0.53			0.99	1
COL9A3	0.1	0.11	0.11	0.48	0.26		0.36	0.39	0.71	0.57	0.33			0.97	1.01
COLEC10	0.92	0.83	0.71	0.87	0.97		0.87	0.94	0.76	0.73	0.92			0.75	0.9
COLEC11	0.08	0.46	0.64	0.95	0.53		0.57	0.81	0.5	0.74	0.52			1.01	0.92
COLQ	0.07	0.26	0.67	0.05	0.22		0.27	0.16	0.23	0.32	0.13			0.95	0.88
COMMD10	0.87	0.85	0.44	0.49	0.35		0.88	0.78	0.51	0.58	0.69			4.14	3.68
COMMD2	0.36	0.36	0.54	0.25	0.32		0.51	0.15	0.12	0.27	0.28			3.11	2.74
COMMD3	0.23	0.06	0.98	0.62	0.3		0.52	0.44	0.87	0.22	0.36			0.61	0.78
COMMD5	0.43	0.34	1	0.11	0.29		0.72	0.1	0.77	0.18	0.64			3.79	3.44
COMMD9	0.35	0.37	0.76	0.88	0.91		0.58	0.62	0.78	0.26	0.26			1.91	4.3
COMP	0.25	0.62	0.39	0.21	0.41		0.43	0.29	0.26	0.45	0.17			0.99	0.99
COMT	0.94	0.66	0.34	0.64	0.3		0.69	0.39	0.31	0.24	0.36			2.46	2.69
COPA	0.91	0.74	0.54	0.51	0.38		0.78	0.72	0.68	0.42	0.86			3.29	3.27
COPB	0.92	0.45	0.58	0.54	0.99		0.51	0.63	0.13	0.18	0.54			4.14	4.51
COPB2	0.96	0.9	0.56	0.37	0.32		0.43	0.43	0.21	0.44	0.2			4.78	4.24
COPEB	0.41	0.19	0.92	0.67	0.91		0.08	0.61	0.67	0.85	0.53			1.08	0.99
COPS3	0.98	0.62	0.56	0.54	0.29		0.67	0.91	0.55	0.31	0.77			3.36	2.66
COPS4	0.08	0.1	0.26	0.36	0.24		0.09	0.22	0.18	0.35	0.08			1.48	1.58
COPS7A	0.91	0.59	0.57	0.59	0.53		0.62	0.73	0.04	0.16	0.63			3.79	3.33
COPS8	0.77	0.4	0.25	0.35	0.25		0.5	0.45	0.55	0.22	0.6			3.9	2.9
COPZ1	0.9	 	0.54	0.81	 		0.73	0.79	0.64	0.38	0.84			2.61	2.46
COPZ2	0.44	 	0.26	0.49	 		0.79	0.77	0.84	0.76	0.11			0.86	0.85
COQ3	0.54	0.47	 	0.28	0.52		0.81	0.9		0.9	 				
COQ4	0.44	 	0.5	0.14	 		0.18	0.17	0.05	0.12	0.07			2.09	1.73
COQ7	0.98	0.35	 	0.88	1		0.91	0.89		0.92	1				
CORIN	0.1	0.71	0.73	0.76	0.3		0.65	0.65	0.63	0.66	0.88			0.88	0.8
CORO1A	0.38	0.9	0.91	0.87			0.47	0.76	0.97	0.82	0.85			0.86	1.23
CORO1B	0.13	 	0.86	0.22	 		0.68	0.52	0.57	0.46	0.9			0.72	1
CORO1C	0.41	0.22	0.22	0.41	0.12		0.23	0.13	0.41	0.56	0.22			0.96	0.9
CORT	0.5	0.26	0.68	0.83	0.4		0.17	0.3	0.65	0.49	0.68			1.82	1.71
COX10	0.6	0.21	0.11	0.27	0.66		0.76	0.54	0.24	0.41	0.08			2.11	2.02
COX11	0.65	0.45	0.45	0.54	0.52		0.33	0.89	0.23	0.18	0.4			3.58	2.51
COX15	0.8	0.23	0.56	0.1	0.4		0.03	0.12	0.41	0.05	0.58			4.38	3.71
COX4I1	0.2	0.2	0.67	0	0.09		0.23	0.06	0.02	0	0.04			1.93	2.42
COX4I2	0.44	0.1	0.54	0.34	0.5		0.12	0.1	0.4	0.61	0.34			0.94	0.93
COX5A	0.1	0.39	0.13	0.52	0.3		0.27	0.21	0.59	0.45	0.24			3.33	1.96
COX5B	0.69	0.85	0.49	0.43	0.42		0.03	0.71	0.11	0.07	0.31			6.14	5.26
COX6A1	0.57	0.21	0.78	0.36	0.17		0.6	0.33	0.46	0.55	0.23			1.87	2.04
COX6A2	0.46	0.11	0.72	0.48	0.96		0.29	0.57	0.42	0.62	0.41			0.89	0.89
COX6B1	0.64	0.25	0.18	0.74	0.23		0.72	0.89	0.32	0.48	0.15			2.91	2.7
COX7A1	0.08	0.57	0.17	0.5	0.55		0.5	0.53	0.4	0.65	0.26			1.1	1.13
COX7A2	0.99	0.89	0.87	0.53	0.99		0.94	0.84	0.34	0.29	0.93			4.59	4.27
COX7A2L	0.94	0.68	0.82	0.54	0.63		0.66	0.76	0.38	0.14	0.71			2.78	3.04
COX7B	0.22	0.04	0.08	0.22	0.34		0.25	0.08	0.11	0.38	0.08			1.35	1.51
COX7C	0.68	0.27	0.74	0.68	0.37		0.64	0.68	0.35	0.59	0.81			2.4	2.36
COX8A	0.58	0.76	0.1	0.48	0.6		0.28	0.69	0.32	0.39	0.17			2.46	2.6
CP	0.84	0.92	0.99	0.58	0.51		0.9	0.64	0.78	0.64	0.78			0.71	0.71
CPA1	0.35	0.25	0.65	0.65	0.22		0.33	0.42	0.62	0.7	0.75			0.65	0.77
CPA2	0.79	0.6	0.76	0.74	1		0.98	0.86	0.66	0.81	0.76			0.76	0.67
CPA3	0.13	0.18	0.29	0.46	0.26		0.4	0.11	0.4	0.64	0.21			0.94	1.01
CPA4	0.62	0.78	0.77	0.76	0.54		0.89	0.56	0.8	0.82	0.9			0.61	0.59
CPA5	0.2	0.23	0.57	0.74	0.4		0.35	0.61	0.63	0.6	0.41			0.69	0.7
CPA6	0.84	 	0.66	0.89	 		0.65	0.44	0.32	0.46	0.62			1.58	1
CPB1	0.29	0.55	0.7	0.56	0.2		0.63	0.42	0.3	0.75	0.65			0.78	0.91
CPB2	0.97	0.93	0.95	0.91	0.61		0.97	0.89	0.87	0.87	0.86			0.52	0.57
CPD	0.95	0.85	0.58	0.57	0.86		0.87	0.82	0.9	0.37	0.92			3.56	3.6
CPE	0.49	0.57	0.31	0.48	0.54		0.51	0.11	0.3	0.72	0.29			0.92	0.93
CPEB1	0.94	0.96	0.92	0.85	0.9		0.22	0.8	0.65	0.77	0.82			0.66	0.67
CPEB3	0.78	0.7	0.59	0.78	0.27		0.79	0.78	0.77	0.64	0.76			0.96	0.92
CPLX1	0.4	0.67	0.47	0.26	0.33		0.55	0.22	0.43	0.53	0.32			0.99	1.25
CPLX2	0.34	0.61	0.52	0.17	0.39		0.07	0.27	0.63	0.65	0.34			0.79	1.01
CPN1	0.26	0.26	0.3	0.42	0.36		0.46	0.36	0.29	0.73	0.26			0.85	0.97
CPNE4	0.14	 	0.48	0.23	 		0.05	0.55	0.39	0.2	0.42			0.98	0.99
CPNE6	0.79	0.36	0.22	0.46	0.53		0.37	0.57	0.73	0.58	0.59			0.78	0.78
CPOX	0.15	0.69	0.35	0.53	0.98		0.25	0.53	0.56	0.2	0.45			1.21	1.23
CPSF1	0.04	0.31	0.21	0.37	0.36		0.09	0.26	0.39	0.58	0.2				
CPSF3	0.46	0.32	0.28	0.31	0.52		0.48	0.68	0.39	0.53	0.54			3.35	3.32
CPSF4	0.34	0.1	0.29	0.35	0.56		0.34	0.53	0.32	0.57	0.15			1.97	1.83
CPSF5	0.89	0.86	0.31	0.38	0.51		0.63	0.65	0.74	0.34	0.71			3.89	3.71
CPT1B	0.8	0.73	 	0.9	0.31		0.75	0.68		0.74	 				
CPT2	0.76	0.72	0.53	0.41	0.52		0.88	0.41	0.59	0.58	0.73			1.56	1.01
CPVL	0.92	0.66	0.71	0.56	0.43		0.83	0.57	0.37	0.58	0.6			1.89	1.01
CPZ	0.12	0.3	0.36	0.13	0.23		0.32	0.79	0.29	0.38	0.14			1	1.13
CR1	0.86	0.96	 	0.63	0.62		0.81	0.44	0.92	0.88	0.82			0.75	0.74
CR2	0.23	0.58	0.69	0.23	0.53		0.56	0.31	0.64	0.45	0.54			0.87	1.01
CRABP1	0.26	0.72	0.37	0.83	0.94		0.17	0.33	0.8	0.86	0.56			0.75	0.8
CRABP2	0.12	0.09	0.72	0.33	0.5		0.41	0.54	0.68	0.37	0.21			0.88	0.53
CRADD	0.64	0.82	 	0.68	0.42		0.71	0.94		0.24	 			2.11	
CRB1	0.66	0.79	0.93	0.88	0.6		0.99	0.65	0.73	0.88	0.94			0.5	0.49
CREB1	0.64	0.76	0	0	0		0.01	0	0	0	0			3.52	4.69
CREB3	0.48		 	0.39	0.53		0.39	0.92		0.7	 				
CREB3L1	0.49		 	0.49	0.98		0.76	0.86		0.84	 				
CREB3L3	0.13	0.1	0.22	0.22	0.18		0.21	0.07	0.15	0.48	0.06			0.99	1
CREB3L4	0.74	0.59	0.18	0.49	1		0.74	0.45	0.75	0.31	0.48			2.94	2.66
CREBL1	0.95	0.45	0.66	0.28	0.53		0.76	0.95	0.47	0.14	0.58			3.44	2.58
CREBL2	0.94	0.37	0.39	0.33	0.4		0.17	0.53	0.09	0.16	0.17			4.15	4.11
CREG1	0.97	0.52	0.71	0.89	1		0.6	0.86	0.74	0.39	0.9			3.26	2.81
CRELD1	0.95	 	0.18	0.21	 		0.07	0.56	0.65	0.34	0.31			3.61	3.07
CRH	0.55	0.2	0.42	0.55	0.93		0.6	0.74	0.84	0.75	0.74			0.54	0.5
CRHBP	0.83	0.46	0.45	0.57	0.53		0.6	0.4	0.73	0.85	0.47			0.63	0.64
CRHR2	0.65	0.58	0.53	0.65	0.34		0.34	0.57	0.33	0.54	0.43			1.06	1.14
CRI1	0.94	0.92	0.86	0.29	0.24		0.63	0.84	0.15	0.09	0.62			4.94	3.44
CRIM1	0.03	0.62	0.71	0.15	0.65		0.3	0.4	0.78	0.58	0.88			0.94	0.51
CRIPT	0.67	0.71	0.28	0.5	0.92		0.09	0.62	0.34	0.1	0.33			5.53	5.12
CRISP1	1	0.72	0.98	0.99	1		0.99	0.99	0.86	0.95	0.98			0.59	0.52
CRISP2	0.97	0.98	1	0.93	0.22		0.94	0.96	0.86	0.93	0.88			0.62	0.65
CRKL	0.47	0.51	0.74	0.72	0.36		0.35	0.71	0.35	0.2	0.48			1.71	1.91
CrkRS	0.49	 	0.91	0.36	 		0.31	0.49	0.43	0.2	0.7			2.64	2.88
CRLF1	0.6	0.91	 	0.56	0.26		0.76	0.43	0.92	0.51	0.78			1.19	0.82
CRLF3	0.1	0.88	0.7	0.39	0.51		0.07	0.16	0.74	0.78	0.47			0.78	0.82
CRNKL1	0.99	0.94	0.99	0.87	0.91		0.93	0.92	0.86	0.82	0.92			0.56	0.55
CROT	0.03	0.41	0.54	0.58	0.17		0.18	0.27	0.42	0.72	0.69			0.97	1
CRP	0.69	0.74	0.9	0.92	0.74		0.91	0.74	0.87	0.79	0.85			0.54	0.62
CRR9	0.56	0.87	 	0.83	0.15		0.92	0.68		0.93	 				
CRSP3	0.32	0.25	0.06	0.07	0.62		0.18	0.05	0.05	0.04	0.13			2.73	2.41
CRSP6	0.72	0.16	0.16	0.45	0.81		0.57	0.42	0.38	0.35	0.25			3.39	3.38
CRSP7	0.45	0.09	 	0.29	0.26		0.69	0.91		0.88	 				
CRSP9	0.6	0.67	0.26	0.35	0.26		0.28	0.62	0.58	0.61	0.24			1.59	1.64
CRTAM	0.54	0.22	0.86	0.38	0.53		0.15	0.3	0.38	0.73	0.44			0.73	0.75
CRX	0.49	0.31	0.24	0.56	0.98		0.28	0.8	0.72	0.68	0.23			0.85	1.01
CRY1	0.53	0.53	0.62	0.61	0.34		0.81	0.58	0.57	0.1	0.54			2.97	2.96
CRYAA	0.36	0.4	0.21	0.61	0.9		0.53	0.28	0.7	0.53	0.92			0.46	0.39
CRYBA1	0.46	0	0.05	0.24	0.99		0.39	0.6	0.85	0.87	0.16			0.71	0.64
CRYBA2	0.08	0.14	0.33	0.57	0.19		0.59	0.62	0.35	0.71	0.21			1.23	1.04
CRYBA4	0.5	0.64	0.68	0.96	0.52		0.52	0.67	0.66	0.91	0.68			0.68	0.68
CRYBB1	0.56	0.33	0.39	0.75	0.99		0.25	0.71	0.47	0.7	0.4			0.94	0.79
CRYBB2	0.38	0.39	0.22	0.66	0.5		0.79	0.68	0.75	0.9	0.66			0.76	0.78
CRYBB3	0.49	0.35	0.13	0.42	0.01		0.24	0.69	0.78	0.71	0.31			0.83	0.85
CRYGA	0.44	0.59	0.49	0.37	0.19		0.36	0.27	0.61	0.78	0.65			0.71	0.82
CRYGB	0.19	0.14	0.52	0.38	0.11		0.34	0.11	0.27	0.53	0.09			0.89	0.95
CRYGC	0.6	0.71	0.89	0.57	0.41		0.4	0.4	0.83	0.85	0.61			0.6	0.63
CRYGS	0.98	0.96	0.95	0.99	0.55		0.97	0.96	0.87	0.9	0.99			0.75	0.78
CRYL1	0.6	0.62	0.25	0.13	0.26		0.68	0.14	0.21	0.18	0.55			3.42	2.7
CRYM	0.05	0.46	0.88	0.2	0.7		0.2	0.13	0.64	0.31	0.61			1	0.99
CRYPTIC	0.03	0.1	0.53	0.52	0.33		0.17	0.16	0.46	0.4	0.21			0.88	0.89
CRYZ	0.8	0.47	0.22	0.18	0.55		0.72	0.69	0.23	0.1	0.51			2.88	2.48
CRYZL1	0.23		 	0.44	0.36		0.64	0.95		0.71	0.93				
CS	0.9	0.38	0.38	0.03	0.52		0.09	0.08	0.36	0.01	0.32			3.73	3.85
CSDA	0.07	0.19	0.97	0.68	0.51		0.51	0.4	0.82	0.6	0.58			0.45	0.66
CSDUFD1	0.93	0.4	0.24	0.75	0.64		0.63	0.64	0.56	0.14	0.26			4.32	4.26
CSE1L	0.57	0.3	0.54	0.7	0.17		0.29	0.51	0.47	0.38	0.41			2.5	2.34
CSF2	0.2	0.08	0.35	0	0		0.06	0.19	0	0	0			1.13	2.24
CSF2RB	0.23	0.08	 	0.25	0.33		0.11	0.14	0.16	0.43	0.14			0.83	0.86
CSF3	0.04	0.08	0.45	0.64	0.22		0	0.34	0	0	0.1			0.98	1.09
CSF3R	0.76	0.85	0.4	0.75	0.35		0.74	0.67	0.73	0.52	0.74			1.49	0.99
CSH1	0.31	0.13	0.09	0.58	0.29		0.58	0.66	0.76	0.7	0.19			0.67	0.68
CSH2	0.03	0.12	0.08	0.48	0.92		0.07	0.7	0.79	0.63	0.3			0.66	0.62
CSHL1	0.14	0.29	0.46	0.65	0.5		0.36	0.2	0.37	0.71	0.1			0.67	0.68
CSK	0.59	0.26	 	0.9	0.89		0.53	0.69		0.81	 				
CSN1S1	0.3	0.46	0.78	0.55	0.31		0.86	0.52	0.68	0.81	0.52			0.93	0.87
CSN2	0.88	0.96	0.85	0.67	0.18		0.97	0.65	0.82	0.9	0.6			0.57	0.56
CSN3	0.46	0.76	0.62	0.54	0.32		0.41	0.27	0.42	0.76	0.37			0.76	0.74
CSNK1G1	0.93	1	0.99	1	1		0.96	0.96	0.86	0.93	0.99			0.76	0.69
CSNK1G2	0.55	0.39	0.25	0.18	0.56		0.49	0.2	0.47	0.61	0.43			1.35	1.32
CSNK1G3	0.75	0.57	0.92	0.94	0.6		0.86	0.68	0.73	0.85	0.86			0.7	0.75
CSNK2A1	0.45	0.19	0.73	0.17	0.73		0.53	0.42	0.34	0.17	0.84			2.61	2.46
CSPG2	0.11	0.2	0.1	0.17	0.5		0.37	0.29	0.37	0.48	0.34			1.01	1.01
CSPG3	0.4	0.59	0.65	0.98	0.52		0.42	0.61	0.89	0.92	0.9			0.84	0.82
CSPG4	0.13	0.45	0.17	0.38	0.28		0.22	0.85	0.71	0.49	0.5			0.89	0.9
CSPG5	0.35	0.31	0.16	0.27	0.65		0.03	0.13	0.27	0.23	0.38			1.27	1.59
CSPG6	0.91	0.58	0.28	0.1	0.73		0.6	0.64	0.1	0	0.42			3.93	3.51
CST11	0.6	0.61	0.44	0.72	0.39		0.13	0.67	0.61	0.62	0.57			0.67	0.66
CST3	0.12	0.17	0.51	0.16	0.86		0.1	0.17	0.2	0.32	0.15			1.01	1.03
CST4	0.68	0.69	0.3	0.63	0.39		0.54	0.34	0.61	0.6	0.48			0.84	0.92
CST7	0.68	0.42	0.38	0.04	0.53		0.04	0	0.01	0.01	0.19			2.55	1.94
CST8	0.46	0.25	0.15	0.44	0.26		0.58	0.29	0.63	0.87	0.33			0.66	0.64
CST9L	0.34	0.75	0.34	0.79	0.69		0.42	0.71	0.76	0.71	0.71			0.69	0.74
CSTA	0.84	0.98	0.7	0.43	0.77		0.13	0.07	0.02	0.03	0.93			3.48	3.65
CSTF1	0.82	0.65	0.47	0.59	0.59		0.58	0.35	0.47	0.23	0.58			2.77	2.44
CSTF2	0.8	0.15	0.66	0.46	0.51		0.5	0.62	0.31	0.14	0.55			3.45	2.46
CSTF2T	0.89	0.85	0.15	0.11	0.25		0.6	0.51	0.02	0.04	0.21			3.09	2.68
CSTF3	0.94	0.96	0.37	0.57	0.95		0.96	0.78	0.73	0.3	0.79			3.29	3.63
CSTL1	0.21	0.19	0.37	0.37	0.24		0.2	0.29	0.32	0.8	0.25			0.91	1.01
CTAG1	0.78		1	0.57	0.67		0.58	0.93		0.88	 				
CTAGE1	0.48	0.89	0.77	0.95	0.71		0.93	0.93	0.78	0.75	0.91			0.7	0.66
CTBP1	0.37	0.85	0.5	0.85	0.63		0.38	0.84	0.8	0.83	0.19			0.98	0.95
CTBS	0.03	0.26	0.99	0.72	0.63		0.14	0.53	0.94	0.45	0.72			0.36	0.66
CTDP1	0.21	0.17	0.54	0.92	0.35		0.29	0.36	0.62	0.68	0.27			0.94	0.85
CTDSP1	0.07	0.01	 	0.94			0.7	0.59		0.75	 			0.45	0.4
CTDSP2	0.22	0.75	 	0.9	0.93		0.76	0.88		0.81	 				
CTDSPL	0.26	0.18	0.4	0.75	0.29		0.26	0.84	0.51	0.71	0.37			1.02	1
CTLA4	0.37	0.56	0.65	0.52	0.43		0.48	0.45	0.42	0.79	0.54			0.72	0.71
CTMP	0.84	0.66	0.18	0.05	0.33		0.38	0.56	0.06	0.03	0.15			5.18	5.17
CTNNA2	0.92	0.99	0.85	0.86	1		0.91	0.57	0.62	0.85	0.62			0.78	0.63
CTNNA3	0.83	0.99	0.98	0.89	0.52		0.79	0.95	0.5	0.8	0.93			1.18	0.51
CTNNAL1	0.67	0.87	 	0.99	0.33		0.51	0.92		0.82	 				
CTNNB1	0.67	0.25	0.16	0.03	0.92		0.41	0.53	0.04	0.03	0.16			4.17	4.26
CTNNBL1	0.31	 	 	0.67	 		0.63	0.6		0.56	 			0.86	0.85
CTNND1	0.58	0.45	0.62	0.52	0.53		0.52	0.28	0.34	0.67	0.29			0.87	0.89
CTNND2	0.38	0.22	0.32	0.24	0.91		0.27	0.28	0.43	0.67	0.74			1.5	1.15
CTNS	0.69	0.54	0.92	0.36	0.52		0.53	0.46	0.8	0.16	0.31			3.12	3.32
CTPS	0.68	0.71	0.95	0.24	0.76		0.79	0.72	0.5	0.53	0.84			2.35	1.64
CTRC	0.18	0.04	0.06	0.33	0.51		0.25	0.36	0.28	0.6	0.08			1.01	1.01
CTRL	0.26	0.13	0.52	0.52	0.17		0.07	0.67	0.24	0.65	0.12			1.72	1.58
CTSC	0.53	0.03	0.1	0	0.61		0.3	0.09	0.02	0	0.01			4.97	3.91
CTSF	0.23	0.27	0.07	0.32	0.36		0.62	0.45	0.37	0.61	0.13			0.98	1.05
CTSG	0.87	0.46	0.7	0.64	0.72		0.89	0.54	0.58	0.57	0.78			0.79	0.8
CTSH	0.31	0.9	 	0.63	0.57		0.53	0.74		0.56	0.74				1.34
CTSL	0.88	0.95	0.73	0.85	0.54		0.62	0.97	0.72	0.7	0.69			0.73	0.71
CTSL2	0.2	0.23	0.58	0.72	0.15		0.72	0.42	0.29	0.4	0.09			1.59	1.49
CTSO	0.3	0.1	0.16	0.44	0.26		0.26	0.12	0.33	0.44	0.19			1.38	1.29
CTSS	0.8	0.44	0.46	0.55	0.52		0.53	0.87	0.32	0.48	0.25			1.25	1.54
CTTNBP2	0.2	0.67	0.95	0.74	0		0.84	0.85		0.8	 				
CUBN	0.87	0.63	0.92	0.68	0.32		0.79	0.49	0.83	0.79	0.86				
CUEDC1	0.67	0.58	0.18	0.19	0.3		0.6	0.37	0.53	0.05	0.27			1.11	0.98
CUEDC2	0.22	0.14	0.15	0.19	0.21		0.22	0.1	0.11	0.07	0.1			1.29	1.55
CUGBP1	0.4	0.42	 	0.66	1		0.47	0.76		0.89	 				
CUL1	0.76	0.83	0.66	0.58	0.17		0.91	0.74	0.69	0.86	0.8			0.91	0.95
CUL2	0.97	0.97	0.39	0.45	0.27		0.37	0.5	0.02	0.08	0.53			2.22	1.79
CUL3	0.36		 	0.67	0.56		0.75	0.93		0.8	0.94				
CUL5	0.44	0.16	0.27	0.32	0.51		0.08	0.29	0.16	0.1	0.22			3.3	3.25
CUL7	0.73	0.32	0.11	0.18	0.19		0.1	0.65	0.19	0.05	0.28			5.67	5.8
CUTC	0.9	 	0.7	0.7	 		0.59	0.54	0.26	0.07	0.68			5.25	4.71
CUTL1	0.7	0.22	0.99	0.85			0.57	0.76	0.95	0.79	0.87				
CUZD1	0.56	0.59	0.86	0.92	0.41		0.74	0.68	0.63	0.83	0.93			0.71	0.72
CWF19L1	0.37	0.19	0.35	0.24	0.32		0.59	0.44	0.26	0.38	0.15			1.57	1.68
CX36	0.47	0.43	0.21	0.36	0.3		0.4	0.26	0.52	0.61	0.28			1	1.03
CX3CL1	0.42	 	0.59	0.7	 		0.13	0.39	0.43	0.47	0.31			0.88	0.98
CX3CR1	0.68	0.44	0.7	0.51	0.31		0.58	0.72	0.48	0.58	0.59			1.17	0.79
CX62	0.83	0.83	0.93	0.99	0.96		0.99	0.96	0.94	0.92	0.95			0.53	0.49
CXADR	0.26	0.37	0.2	0.19	0.83		0.94	0.56	0.75	0.66	0.44			1.38	1.27
CXCL1	0.53	 	0.71	0.11	 		0.06	0.09	0.07	0.01	0.24			0.92	2.14
CXCL14	0.07	 	0.38	0.53	 		0.51	0.56	0.31	0.36	0.54			1.38	1.22
CXCL3	0.43	 	0.39	0.05	 		0.02	0.02	0.17	0	0.54			1.1	2.05
CXCL6	0.61	 	0.71	0.39	 		0.81	0.47	0.38	0.29	0.34			0.7	0.72
CXCL9	1	 	0.99	0.98	 		0.94	0.95	0.95	0.6	0.97			0.86	1
CXCR3	0.75	 	0.33	0.4	 		0.35	0.13	0.07	0.08	0.38			0.96	1.01
CXCR4	0.42	0.59	0.5	0.53	0.52		0.03	0.5	0.09	0.21	0.26			4.23	4.95
CXCR6	0.6	 	0.26	0.67	 		0.55	0.14	0.49	0.36	0.68			0.94	0.84
CXorf1	0.93	0.95	0.97	0.97	0.7		0.5	0.75	0.82	0.9	0.86			0.68	0.73
CXorf12	0.68	0.11	 	0.86	0.56		0.73	0.7		0.56	 			2.92	3.27
CXorf17	0.69	0.53	0.67	0.51	1		0.94	0.41	0.7	0.45	0.55			1.16	1
CXorf2	0.67	0.47	0.21	0.49	0.35		0.21	0.58	0.46	0.53	0.3			0.93	0.94
CXorf21	0.2	0.12	0.04	0.23	0.21		0.49	0.07	0.31	0.35	0.33			1.32	1.42
CXorf34	0.85	0.43	0.68	0.58	0.88		0.99	0.76	0.71	0.61	0.87			4.31	5.29
CXorf37	0.04	0.02	0.62	0.26	0.37		0.06	0.13	0.61	0.64	0.8			0.99	0.96
CXorf45	0.1	0.03	0.37	0.2	0.32		0.08	0.2	0.28	0.49	0.13			0.95	0.98
CXorf6	0.42	0.35	0.78	0.64	0.38		0.62	0.61	0.43	0.57	0.66			0.67	0.79
CXorf9	0.22	0.09	0.6	0.06	0.3		0.12	0.02	0.05	0.02	0.54			3.09	1.98
CXX1	0.73	0.71	0.3	0.63	0.99		0.59	0.8	0.87	0.43	0.52			6.13	5.56
CXXC1	0.86	0.63	0.76	0.62	0.66		0.93	0.81	0.22	0.13	0.75			2.96	2.18
CYB5	0.6	0.61	0.16	0.01	0.3		0.7	0.61	0.53	0	0.13			2.75	3.08
CYB561	0.33	0.36	0.36	0.73	0.5		0.42	0.55	1	0.63	0.27			1.13	1.16
CYB561D2	0.55	0.43	0.26	0.61	0.8		0.64	0.81	0.71	0.16	0.57			5.12	3.93
CYB5-M	0.89	0.62	0.66	0.82	0.42		0.62	0.64	0.31	0.24	0.48			3.62	3.16
CYBA	0.45	0.11	0.46	0.35	0.55		0.02	0.01	0.01	0	0.03			3.42	3.81
CYBB	0.65	0.32	0.31	0.52	0.91		0.69	0.52	0.76	0.8	0.46			0.89	0.89
CYBRD1	0.85	0.74	0.25	0.41	0.23		0.87	0.47	0.39	0.15	0.61			5.12	5.02
CYGB	0.61		 	0.77			0.92	0.93		0.86	 				
CYLC2	0.71	0.97	0.86	0.87	0.82		0.94	0.91	0.96	0.81	0.99			0.71	0.67
CYLD	0.85		 	0.69	0.44		0.9	0.97	0.8	0.92	 				
CYorf15B	0.22	 	0.88	0.83	 		0.71	0.52	0.57	0.49	0.69			0.88	
CYP11A1	0.19	0.18	0.48	0.78	0.87		0.48	0.65	0.6	0.55	0.67			0.7	0.78
CYP11B2	0.21	0.17	0.57	0.88	0.36		0.73	0.68	0.39	0.64	0.27			0.86	0.84
CYP17A1	0.71	0.38	0.23	0.42	0.58		0.38	0.7	0.73	0.76	0.53			0.87	0.7
CYP19A1	0.44	0.66	0.34	0.5	0.54		0.29	0.23	0.69	0.68	0.57			0.73	0.69
CYP1A1	0.24	0.33	 	0.68	0.36		0.46	0.91	0.77	0.73	0.95				0.85
CYP1A2	0.91	0.47	0.43	0.74	0.43		0.91	0.56	0.76	0.85	0.51			0.59	0.57
CYP1B1	0.62	0.28	0.51	0.94	0.27		0.61	0.82	0.63	0.69	0.22			1.04	1.08
CYP20A1	0.13	0.33	0.11	0.43	0.36		0.33	0.25	0.26	0.27	0.25			1.6	1.75
CYP21A2	0.19	0.31	0.22	0.27	0.75		0.47	0.14	0.69	0.14	0.46			0.73	0.74
CYP24A1	0.34	0.29	0.65	0.49	0.25		0.11	0.41	0.27	0.22	0.24			1	1.11
CYP26A1	0.49	0.17	0.72	0.57	0.92		0.42	0.51	0.56	0.85	0.63			0.93	1.07
CYP26B1	0.4	0.12	 	0.72	0.54		0.34	0.58	1	0.72	 			0.07	0.44
CYP27A1	0.27	0.17	0.48	0.86	0.52		0.3	0.94	0.35	0.54	0.24			1.01	0.98
CYP27B1	0.38	0.44	0.53	0.43	0.56		0.07	0.53	0.02	0.05	0.44			2.03	3.41
CYP2A13	0.73	0.16	0.09	0.41	0.42		0.18	0.5	0.76	0.65	0.2			0.77	0.75
CYP2A6	0.66	0.71	0.48	0.41	0.53		0.54	0.23	0.72	0.45	0.34			2.61	1.52
CYP2A7	0.63	0.33	0.52	0.78	0.4		0.34	0.07	0.38	0.37	0.17			1.81	1.4
